context,triplets,subject,object,relation
"The government has passed a law to increase funding for research and development, in an effort to promote innovation and economic growth.",<triplet> increase <subj> promote <obj> intend,increase,promote,intend
Sporadic violence during hartal 20th May 2009 10:23 AM THIRUVANANTHAPURAM : Sporadic violence marked the hartal on Tuesday called by Muslim organisations in protest against the police action in Cheriyathura-Beemappally areas on Sunday .,<triplet> protest <subj> Sporadic violence marked the hartal on Tuesday called by Muslim organisations <obj> cause,protest,Sporadic violence marked the hartal on Tuesday called by Muslim organisations,cause
Sporadic violence during hartal 20th May 2009 10:23 AM THIRUVANANTHAPURAM : Sporadic violence marked the hartal on Tuesday called by Muslim organisations in protest against the police action in Cheriyathura-Beemappally areas on Sunday .,<triplet> against the police action in Cheriyathura-Beemappally areas on Sunday <subj> protest <obj> cause,against the police action in Cheriyathura-Beemappally areas on Sunday,protest,cause
The roads were first closed at 4:45am after protesters blockaded them with burning tyres .,<triplet> protesters blockaded them with burning tyres <subj> The roads were first closed at 4:45am <obj> cause,protesters blockaded them with burning tyres,The roads were first closed at 4:45am,cause
The Canadian government has announced a new strategy to strengthen the country's infrastructure.,<triplet> announced <subj> strengthen <obj> enable,announced,strengthen,enable
"The government has taken steps to prevent the use of cybercrime, including introducing new laws to regulate the use of digital technologies.",<triplet> laws <subj> Cybercrime <obj> prevent,laws,Cybercrime,prevent
He visited Morampalli Banjar village in Burgampad mandal today to extend support to the padayatra taken up by CPI for separate Telangana .,<triplet> to extend support to the padayatra taken up by CPI for separate Telangana <subj> He visited Morampalli Banjar village in Burgampad mandal today <obj> cause,to extend support to the padayatra taken up by CPI for separate Telangana,He visited Morampalli Banjar village in Burgampad mandal today,cause
"Profit from coal fell to $41 million from $58 million, partly because of a miners' strike. ",<triplet> strike <subj> fell <obj> cause,strike,fell,cause
The government passed a law to increase access to clean energy sources in an effort to reduce air pollution.,<triplet> passed <subj> reduce <obj> intend,passed,reduce,intend
"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",<triplet> introducing <subj> ensure <obj> intend,introducing,ensure,intend
The African Union has adopted a new strategy to promote regional integration and economic development.,<triplet> adopted <subj> promote <obj> enable,adopted,promote,enable
DD Acquisition said the extension is to allow this process to be completed.,<triplet> extension <subj> completed <obj> enable,extension,completed,enable
"On Wednesday , a crowd , made up of mainly young people from various civil community organisations and students from universities and schools across the city , gathered outside the CTICC , chanting struggle songs and holding posters on which was written `` enough is enough '' and `` stop killing women and children '' .","<triplet> chanting struggle songs and holding posters on which was written `` enough is enough '' and `` stop killing women and children '' <subj> On Wednesday , a crowd , made up of mainly young people from various civil community organisations and students from universities and schools across the city , gathered outside the CTICC <obj> cause",chanting struggle songs and holding posters on which was written `` enough is enough '' and `` stop killing women and children '',"On Wednesday , a crowd , made up of mainly young people from various civil community organisations and students from universities and schools across the city , gathered outside the CTICC",cause
The company has also announced that it will be investing in new environmental initiatives to reduce its carbon footprint.,<triplet> investing <subj> reduce <obj> enable,investing,reduce,enable
"Reuters Holdings PLC said Michael Reupke resigned as general manager  to pursue unspecified interests, a move the news organization termed an ""amicable separation.""    ",<triplet> resigned <subj> move <obj> cause,resigned,move,cause
The United Nations has adopted a resolution to combat climate change and reduce global emissions.,<triplet> resolution <subj> combat <obj> enable,resolution,combat,enable
"The bus stop walls were soon covered with posters , many of them exhorting people to "" continue the struggle against patriarchy so that every woman can live a life free of violence "" .",<triplet> against patriarchy <subj> continue the struggle <obj> cause,against patriarchy,continue the struggle,cause
"The bus stop walls were soon covered with posters , many of them exhorting people to "" continue the struggle against patriarchy so that every woman can live a life free of violence "" .",<triplet> so that every woman can live a life free of violence <subj> against patriarchy <obj> cause,so that every woman can live a life free of violence,against patriarchy,cause
The government has implemented a series of laws to protect the public from identity theft.,<triplet> Laws <subj> Identity Theft <obj> prevent,Laws,Identity Theft,prevent
"Despite the march being peaceful , most of the businesses in the inner city were closed .",<triplet> the march being peaceful <subj> most of the businesses in the inner city were closed <obj> cause,the march being peaceful,most of the businesses in the inner city were closed,cause
",The government has implemented a series of reforms to promote access to housing and reduce homelessness.",<triplet> promote <subj> reduce <obj> intend,promote,reduce,intend
